route_long_name,end_date,route_type,route_text_color,agency_id,route_id,route_color,route_desc,directions,route_url,route_short_name,start_date,direction_id,direction_headsign,direction_name
(M) Cerrillos - Ciudad Satelite,2019-12-31,3,FFFFFF,TS,113c,00A77E,,"[{'direction_id': 0, 'route_id': '113c', 'direction_headsign': '(M) Cerrillos', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '113c', 'direction_headsign': 'Ciudad Satélite', 'direction_name': 'Inbound'}]",,113c,2019-07-08,1,Ciudad Satélite,Inbound
Ciudad Satelite - (M) Los Heroes,2019-12-31,3,FFFFFF,TS,113e,00A77E,,"[{'direction_id': 0, 'route_id': '113e', 'direction_headsign': '(M) Los Héroes', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '113e', 'direction_headsign': 'Ciudad Satélite', 'direction_name': 'Inbound'}]",,113e,2019-07-08,0,(M) Los Héroes,Outbound
Ciudad Satelite - (M) Los Heroes,2019-12-31,3,FFFFFF,TS,113e,00A77E,,"[{'direction_id': 0, 'route_id': '113e', 'direction_headsign': '(M) Los Héroes', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '113e', 'direction_headsign': 'Ciudad Satélite', 'direction_name': 'Inbound'}]",,113e,2019-07-08,1,Ciudad Satélite,Inbound
(M) La Cisterna - Angelmó,2019-12-31,3,FFFFFF,TS,301c,00A77E,,"[{'direction_id': 0, 'route_id': '301c', 'direction_headsign': 'Angelmó', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '301c', 'direction_headsign': '(M) La Cisterna', 'direction_name': 'Inbound'}]",,301c,2019-07-06,0,Angelmó,Outbound
(M) La Cisterna - Angelmó,2019-12-31,3,FFFFFF,TS,301c,00A77E,,"[{'direction_id': 0, 'route_id': '301c', 'direction_headsign': 'Angelmó', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '301c', 'direction_headsign': '(M) La Cisterna', 'direction_name': 'Inbound'}]",,301c,2019-07-06,1,(M) La Cisterna,Inbound
(M) La Cisterna - Lo Blanco,2019-12-31,3,FFFFFF,TS,301c2,00A77E,,"[{'direction_id': 0, 'route_id': '301c2', 'direction_headsign': 'Lo Blanco', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '301c2', 'direction_headsign': '(M) La Cisterna', 'direction_name': 'Inbound'}]",,301c2,2019-07-08,0,Lo Blanco,Outbound
(M) La Cisterna - Lo Blanco,2019-12-31,3,FFFFFF,TS,301c2,00A77E,,"[{'direction_id': 0, 'route_id': '301c2', 'direction_headsign': 'Lo Blanco', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '301c2', 'direction_headsign': '(M) La Cisterna', 'direction_name': 'Inbound'}]",,301c2,2019-07-08,1,(M) La Cisterna,Inbound
(M) Los Heroes - San Ramón,2019-12-31,3,FFFFFF,TS,302e,00A77E,,"[{'direction_id': 0, 'route_id': '302e', 'direction_headsign': 'San Ramón', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '302e', 'direction_headsign': '(M) Los Héroes', 'direction_name': 'Inbound'}]",,302e,2019-07-08,0,San Ramón,Outbound
(M) Los Heroes - San Ramón,2019-12-31,3,FFFFFF,TS,302e,00A77E,,"[{'direction_id': 0, 'route_id': '302e', 'direction_headsign': 'San Ramón', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '302e', 'direction_headsign': '(M) Los Héroes', 'direction_name': 'Inbound'}]",,302e,2019-07-08,1,(M) Los Héroes,Inbound
Alameda - La Pintana,2019-12-31,3,FFFFFF,TS,302N,00A77E,,"[{'direction_id': 1, 'route_id': '302N', 'direction_headsign': 'Alameda', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': '302N', 'direction_headsign': 'La Pintana', 'direction_name': 'Outbound'}]",,302N,2019-07-06,1,Alameda,Inbound
Alameda - La Pintana,2019-12-31,3,FFFFFF,TS,302N,00A77E,,"[{'direction_id': 1, 'route_id': '302N', 'direction_headsign': 'Alameda', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': '302N', 'direction_headsign': 'La Pintana', 'direction_name': 'Outbound'}]",,302N,2019-07-06,0,La Pintana,Outbound
Quilicura - (M) Santa Ana,2019-12-31,3,FFFFFF,TS,303e,00A77E,,"[{'direction_id': 0, 'route_id': '303e', 'direction_headsign': '(M) Santa Ana', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '303e', 'direction_headsign': 'Quilicura', 'direction_name': 'Inbound'}]",,303e,2019-07-08,0,(M) Santa Ana,Outbound
Quilicura - (M) Santa Ana,2019-12-31,3,FFFFFF,TS,303e,00A77E,,"[{'direction_id': 0, 'route_id': '303e', 'direction_headsign': '(M) Santa Ana', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '303e', 'direction_headsign': 'Quilicura', 'direction_name': 'Inbound'}]",,303e,2019-07-08,1,Quilicura,Inbound
(M) Quinta Normal - Maipu,2019-12-31,3,FFFFFF,TS,109N,00929E,,"[{'direction_id': 1, 'route_id': '109N', 'direction_headsign': '(M) Quinta Normal', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': '109N', 'direction_headsign': 'Maipú', 'direction_name': 'Outbound'}]",,109N,2019-07-06,1,(M) Quinta Normal,Inbound
(M) Quinta Normal - Maipu,2019-12-31,3,FFFFFF,TS,109N,00929E,,"[{'direction_id': 1, 'route_id': '109N', 'direction_headsign': '(M) Quinta Normal', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': '109N', 'direction_headsign': 'Maipú', 'direction_name': 'Outbound'}]",,109N,2019-07-06,0,Maipú,Outbound
Renca - Pudahuel Sur,2019-12-31,3,FFFFFF,TS,110c,00929E,,"[{'direction_id': 0, 'route_id': '110c', 'direction_headsign': 'Pudahuel Sur', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '110c', 'direction_headsign': 'Renca', 'direction_name': 'Inbound'}]",,110c,2019-07-06,0,Pudahuel Sur,Outbound
Renca - Pudahuel Sur,2019-12-31,3,FFFFFF,TS,110c,00929E,,"[{'direction_id': 0, 'route_id': '110c', 'direction_headsign': 'Pudahuel Sur', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '110c', 'direction_headsign': 'Renca', 'direction_name': 'Inbound'}]",,110c,2019-07-06,1,Renca,Inbound
Renca - Mapocho,2019-12-31,3,FFFFFF,TS,408e,00929E,,"[{'direction_id': 0, 'route_id': '408e', 'direction_headsign': 'Mapocho', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '408e', 'direction_headsign': 'Renca', 'direction_name': 'Inbound'}]",,408e,2019-07-08,0,Mapocho,Outbound
Renca - Mapocho,2019-12-31,3,FFFFFF,TS,408e,00929E,,"[{'direction_id': 0, 'route_id': '408e', 'direction_headsign': 'Mapocho', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '408e', 'direction_headsign': 'Renca', 'direction_name': 'Inbound'}]",,408e,2019-07-08,1,Renca,Inbound
Cerro Navia - Santiago,2019-12-31,3,FFFFFF,TS,502c,00929E,,"[{'direction_id': 1, 'route_id': '502c', 'direction_headsign': 'Cerro Navia', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': '502c', 'direction_headsign': 'Santiago', 'direction_name': 'Outbound'}]",,502c,2019-07-08,1,Cerro Navia,Inbound
Cerro Navia - Santiago,2019-12-31,3,FFFFFF,TS,502c,00929E,,"[{'direction_id': 1, 'route_id': '502c', 'direction_headsign': 'Cerro Navia', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': '502c', 'direction_headsign': 'Santiago', 'direction_name': 'Outbound'}]",,502c,2019-07-08,0,Santiago,Outbound
Maipu - Peñalolen,2019-12-31,3,FFFFFF,TS,506e,00929E,,"[{'direction_id': 0, 'route_id': '506e', 'direction_headsign': 'Peñalolén', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '506e', 'direction_headsign': 'Maipú', 'direction_name': 'Inbound'}]",,506e,2019-07-08,0,Peñalolén,Outbound
